排名,电影名称,导演,演员,上映年份,制作国家,类型,评分,评价人数,短评
113,蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan,,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,8.8,661990,诺兰就是保证。
114,小森林 夏秋篇,森淳一 Junichi Mori,,2014,日本,剧情,9.0,391303,那些静得只能听见呼吸的日子里，你明白孤独即生活。
115,阳光灿烂的日子,姜文 Wen Jiang,,1994,中国大陆 中国香港,剧情 爱情,8.8,565668,一场华丽的意淫。
116,菊次郎的夏天,北野武 Takeshi Kitano,,1999,日本,剧情 喜剧,8.9,541291,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
117,超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,,2014,美国,喜剧 动作 科幻 动画 冒险,8.7,926323,Balalala~~~
118,完美的世界,克林特·伊斯特伍德 Clint Eastwood,,1993,美国,剧情 犯罪,9.1,281628,坏人的好总是比好人的好来得更感人。
119,无人知晓,是枝裕和 Hirokazu Koreeda,,2004,日本,剧情,9.1,287002,我的平常生活就是他人的幸福。
120,爱在日落黄昏时,理查德·林克莱特 Richard Linklater,,2004,美国 法国,剧情 爱情,8.9,499728,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
121,消失的爱人,大卫·芬奇 David Fincher,,2014,美国,剧情 犯罪 悬疑 惊悚,8.7,848540,年度最佳date movie。
122,小森林 冬春篇,森淳一 Junichi Mori,,2015,日本,剧情,9.0,349752,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
123,借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi,,2010,日本,动画 奇幻 冒险,8.9,503065,曾经的那段美好会沉淀为一辈子的记忆。
124,甜蜜蜜,陈可辛 Peter Chan,,1996,中国香港,剧情 爱情,8.9,480387,相逢只要一瞬间，等待却像是一辈子。
125,倩女幽魂,程小东 Siu-Tung Ching,,1987,中国香港,爱情 奇幻 武侠 古装,8.8,673427,两张绝世的脸。 
126,侧耳倾听,近藤喜文 Yoshifumi Kondo,,1995,日本,剧情 爱情 动画,8.9,422439,少女情怀总是诗。
127,幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg,,2004,美国,喜剧 剧情 爱情,8.8,515862,有时候幸福需要等一等。 
128,时空恋旅人,理查德·柯蒂斯 Richard Curtis,,2013,英国,喜剧 爱情 奇幻,8.8,592225,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
129,驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,,2010,美国,动画 奇幻 冒险,8.7,695734,和谐的生活离不开摸头与被摸头。
130,萤火之森,大森贵弘 Takahiro Omori,,2011,日本,剧情 爱情 动画 奇幻,8.9,483107,触不到的恋人。
131,玛丽和马克思,亚当·艾略特 Adam Elliot,,2009,澳大利亚 美国,剧情 喜剧 动画,8.9,397979,你是我最好的朋友，你是我唯一的朋友 。
132,怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,,2001,美国,儿童 喜剧 动画 奇幻 冒险,8.8,607811,不要给它起名字，起了名字就有感情了。
133,教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola,,1990,美国,剧情 犯罪,9.0,335233,任何信念的力量，都无法改变命运。
134,一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm,,2015,瑞典,剧情,8.9,415784,惠及一生的美丽。
135,大鱼,蒂姆·波顿 Tim Burton,,2003,美国,剧情 家庭 奇幻 冒险,8.8,527110,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
136,玩具总动员3,李·昂克里奇 Lee Unkrich,,2010,美国,喜剧 动画 奇幻 冒险,8.9,467191,跨度十五年的欢乐与泪水。
137,寄生虫,奉俊昊 Joon-ho Bong,,2019,韩国,剧情,8.8,1258643,
138,告白,中岛哲也 Tetsuya Nakashima,,2010,日本,剧情 悬疑,8.8,628317,没有一人完全善，也没有一人完全恶。
139,傲慢与偏见,乔·怀特 Joe Wright,,2005,法国 英国 美国,剧情 爱情,8.7,723939,爱是摈弃傲慢与偏见之后的曙光。
140,神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,,2010,美国 法国,喜剧 动画 冒险,8.6,875733,Mr. I Don't Care其实也有Care的时候。
141,釜山行,延尚昊 Sang-ho Yeon,,2016,韩国,动作 惊悚 灾难,8.6,1093820,揭露人性的丧尸题材力作。
142,阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang,,2011,韩国,剧情 喜剧,8.8,558046,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
143,射雕英雄传之东成西就,刘镇伟 Jeffrey Lau,,1993,中国香港,喜剧 奇幻 武侠 古装,8.7,584723,百看不厌。 
144,未麻的部屋,今敏 Satoshi Kon,,1997,日本,动画 奇幻 惊悚,9.0,287483,好的剧本是，就算你猜到了结局也猜不到全部。
145,被解救的姜戈,昆汀·塔伦蒂诺 Quentin Tarantino,,2012,美国,剧情 动作 西部 冒险,8.8,557082,热血沸腾，那个低俗、性感的无耻混蛋又来了。
146,恐怖直播,金秉祐 Byeong-woo Kim,,2013,韩国,剧情 犯罪 悬疑,8.7,598500,恐怖分子的“秋菊打官司”。
147,哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,,1979,中国大陆,冒险 动画 奇幻,9.1,234317,想你时你在闹海。
148,我是山姆,杰茜·尼尔森 Jessie Nelson,,2001,美国,剧情 家庭,9.0,307161,爱并不需要智商 。
149,哈利·波特与火焰杯,迈克·内威尔 Mike Newell,,2005,英国 美国,悬疑 奇幻 冒险,8.7,576015,
150,血战钢锯岭,梅尔·吉布森 Mel Gibson,,2016,澳大利亚 美国,剧情 传记 历史 战争,8.7,728189,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
151,头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg,,2018,美国,动作 科幻 冒险,8.7,1258002,写给影迷，动漫迷和游戏迷的一封情书。
152,新世界,朴勋政 Hoon-jung Park,,2013,韩国,剧情 犯罪,8.9,363914,要做就做得狠一点，这样才能活下去。
153,模仿游戏,莫滕·泰杜姆 Morten Tyldum,,2014,英国 美国,剧情 传记 战争 同性,8.7,586172,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
